university,ranking,logo
Indiana University,정보 없음,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/default_images/school-logo_def.png
Pennsylvania State University(Penn State University),101,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/profiles/logos/pennsylvania-state-university_494_large_2.jpg
The University of Texas at Dallas,531-540,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/profiles/logos/university-of-texas-dallas_592560cf2aeae70239af5355_large_1.jpg
UNC Greensboro,1000+,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/default_images/school-logo_def.png
American University,651-700,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/profiles/logos/american-university_17_large_0.jpg
Boise State University,1000+,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/profiles/logos/boise-state-university_592560cf2aeae70239af5383_large_0.jpg
University of Oklahoma,1000+,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/profiles/logos/university-of-oklahoma_592560cf2aeae70239af572c_large_1.jpg
"College of Charleston,
School of Business",정보 없음,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/default_images/school-logo_def.png
University of Wyoming,801-1000,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/profiles/logos/university-of-wyoming_592560cf2aeae70239af51ca_large_1.jpg
"Washington State University,
Carson College of Business",411,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/profiles/logos/washington-state-university_666_large_2.jpg
Université de Liège,451,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/profiles/logos/universit-de-lige_592560cf2aeae70239af4bd9_large.jpg
"KU Leuven, Faculty of Economics and Business",84,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/profiles/logos/ku-leuven_592560cf2aeae70239af4aec_large_5.jpg
Université de Technologie de Troyes,1000+,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/default_images/school-logo_def.png
ICHEC Brussels Management School,정보 없음,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/default_images/school-logo_def.png
University of Sao Paulo,정보 없음,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/default_images/school-logo_def.png
Universidade do Vale do Rio dos Sinos - UNISINOS,1000+,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/profiles/logos/universidade-do-vale-do-rio-dos-sinos_592560cf2aeae70239af5526_large_2.jpg
Linnaeus University,1000+,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/default_images/school-logo_def_3.png
"Stockholm University,
Stockholm Business School",181,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/profiles/logos/stockholm-university_577_large_1.jpg
Halmstad University,1000+,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/profiles/logos/halmstad-university_592560cf2aeae70239af5090_large.jpg
Linköping University,362,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/profiles/logos/linkping-university_348_large_8.jpg
10,정보 없음,https://www.topuniversities.com/sites/default/files/styles/logo_88x88/public/default_images/school-logo_def.png
